,Cliente,Sexo,Idade,Empresa,Salario,Saldo_cc,Saldo_poupança,Saldo_investimento,Devedor_cartao,Inadimplente
75928,75928,M,32,Privada,5719.0,933.79,0.0,0.0,6023.68,0
52921,52921,F,28,Privada,5064.0,628.37,0.0,0.0,1578.24,0
8387,8387,F,24,Autônomo,4739.0,889.18,0.0,0.0,2578.7,0
54522,54522,M,30,Pública,5215.0,1141.47,0.0,0.0,4348.96,0
45397,45397,M,30,Autônomo,5215.56,520.7,0.0,0.0,1516.78,1
59597,59597,M,34,Privada,5443.0,783.61,0.0,0.0,3585.23,0
81859,81859,F,29,Privada,4977.42,540.36,0.0,0.0,4485.24,1
52067,52067,F,33,Privada,5337.08,472.37,0.0,0.0,3714.89,1
51380,51380,M,32,Autônomo,5234.0,945.52,15748.31,9482.78,0.0,0
68076,68076,M,32,Privada,5492.0,1121.0,0.0,0.0,2400.88,0
73121,73121,F,30,Privada,5337.0,916.97,0.0,0.0,1016.99,0
4172,4172,F,24,Autônomo,4563.86,353.79,0.0,0.0,3863.26,1
50467,50467,F,30,Privada,5204.0,756.78,0.0,0.0,2078.89,0
55932,55932,M,33,Pública,5438.0,631.9,16397.45,11653.92,0.0,0
87018,87018,F,32,Pública,5230.0,661.75,0.0,0.0,366.02,0
89489,89489,M,36,Privada,6051.0,1157.35,18380.58,13073.32,0.0,0
17067,17067,M,32,Privada,5837.0,923.29,0.0,0.0,0.0,0
37974,37974,M,35,Privada,5787.0,751.65,17128.22,11543.17,0.0,0
36915,36915,M,34,Privada,5891.0,817.25,0.0,0.0,1981.92,0
9389,9389,F,31,Privada,5207.0,560.78,0.0,0.0,2453.14,0
139,139,F,31,Pública,5435.0,768.65,0.0,0.0,3472.91,0
28404,28404,M,32,Privada,5770.0,971.77,0.0,0.0,3843.72,0
93124,93124,M,32,Pública,5257.0,627.85,0.0,0.0,1341.21,0
56293,56293,F,32,Privada,5534.0,647.03,0.0,0.0,5083.11,0
30302,30302,M,32,Privada,5430.18,348.76,0.0,0.0,3326.63,1
10358,10358,M,32,Privada,5615.0,696.84,0.0,0.0,1808.38,0
81254,81254,F,32,Pública,5200.0,642.17,0.0,0.0,2843.12,0
99184,99184,M,30,Pública,5304.0,1164.27,0.0,0.0,492.05,0
27824,27824,M,27,Pública,5195.0,912.89,0.0,0.0,3647.18,0
26255,26255,M,35,Privada,6043.66,849.83,0.0,0.0,5075.77,1
34722,34722,F,32,Pública,5223.0,413.51,0.0,0.0,4302.88,0
62180,62180,F,29,Privada,5340.0,563.19,0.0,0.0,2283.21,0
10288,10288,F,32,Pública,5224.0,898.81,0.0,0.0,4521.21,0
25799,25799,M,34,Privada,5842.0,796.9,0.0,0.0,4814.93,0
78373,78373,M,37,Privada,6082.0,1434.22,0.0,0.0,0.0,0
90208,90208,M,29,Autônomo,5147.0,769.35,0.0,0.0,4242.49,0
73032,73032,M,32,Privada,5547.0,1338.25,0.0,0.0,5280.6,0
814,814,F,29,Pública,5326.0,669.11,0.0,0.0,2723.22,0
47622,47622,M,31,Privada,5601.0,1176.95,0.0,0.0,5069.1,0
76896,76896,M,32,Privada,5501.0,883.6,0.0,0.0,5380.79,0
58227,58227,M,33,Privada,5696.0,656.83,0.0,0.0,3851.12,0
105,105,M,30,Privada,5472.0,887.28,0.0,0.0,4778.67,0
2986,2986,F,28,Pública,5362.0,1239.61,0.0,0.0,1686.43,0
30093,30093,F,30,Privada,5225.36,524.86,0.0,0.0,4540.04,1
87739,87739,M,30,Pública,5313.0,1095.1,0.0,0.0,2425.75,0
66663,66663,M,35,Privada,5843.74,655.12,0.0,0.0,5962.4,1
33559,33559,F,29,Privada,5032.0,864.62,14806.57,13648.27,0.0,0
92282,92282,F,28,Pública,5024.0,847.07,0.0,0.0,2488.16,0
90579,90579,F,31,Privada,5457.0,729.69,0.0,0.0,0.0,0
8125,8125,F,27,Autônomo,4701.0,944.93,0.0,0.0,0.0,0
70781,70781,M,32,Pública,5489.0,1090.34,0.0,0.0,2716.65,0
9876,9876,M,30,Autônomo,5359.0,994.93,15846.24,11805.5,0.0,0
80773,80773,F,29,Privada,5045.0,1163.92,15394.59,5365.95,0.0,0
79969,79969,F,31,Privada,5221.0,828.43,0.0,0.0,0.0,0
45364,45364,F,28,Autônomo,4962.0,1141.26,14753.35,11949.34,0.0,0
79516,79516,M,28,Autônomo,5196.0,844.58,15709.06,8327.53,0.0,0
37027,37027,M,34,Privada,5850.0,1094.28,17478.39,10209.22,0.0,0
14017,14017,F,34,Pública,5450.0,857.16,0.0,0.0,4673.17,0
38642,38642,F,28,Autônomo,4618.0,595.0,0.0,0.0,1752.02,0
26626,26626,M,32,Privada,5805.52,617.74,0.0,0.0,3899.6,1
54908,54908,M,31,Pública,5157.0,1171.8,0.0,0.0,1069.24,0
10334,10334,M,32,Privada,5581.0,654.89,0.0,0.0,2254.82,0
7340,7340,M,35,Privada,5845.0,1087.8,0.0,0.0,3140.75,0
90926,90926,F,33,Pública,5437.0,902.23,0.0,0.0,2593.73,0
78381,78381,F,26,Autônomo,4738.0,359.06,0.0,0.0,5270.4,0
91080,91080,F,36,Privada,6020.0,956.13,0.0,0.0,4766.21,0
81521,81521,F,29,Privada,5079.0,685.9,0.0,0.0,620.99,0
1328,1328,M,32,Privada,5621.0,621.75,16964.06,14382.49,0.0,0
38712,38712,M,32,Privada,5805.0,954.35,0.0,0.0,312.74,0
96469,96469,M,30,Pública,5240.0,852.28,0.0,0.0,2199.42,0
54755,54755,M,31,Privada,5561.0,559.01,0.0,0.0,2877.21,0
24714,24714,M,30,Pública,5324.0,716.93,15981.63,15888.51,0.0,0
61686,61686,F,29,Privada,5219.0,1092.1,0.0,0.0,4661.39,0
54930,54930,F,33,Privada,5729.0,940.45,16996.9,12732.17,0.0,0
80463,80463,M,32,Autônomo,5258.68,540.81,0.0,0.0,114.58,1
64412,64412,F,29,Pública,5320.42,618.34,0.0,0.0,2790.49,1
36107,36107,M,34,Privada,5677.0,1188.27,0.0,0.0,3627.53,0
80890,80890,F,33,Pública,5677.0,906.4,0.0,0.0,1698.87,0
89727,89727,F,31,Privada,5084.0,921.08,15221.94,7644.68,0.0,0
48589,48589,M,34,Privada,5844.72,862.25,0.0,0.0,3640.1,1
27621,27621,M,32,Privada,5804.0,1102.72,17399.57,7318.74,0.0,0
25628,25628,M,31,Privada,5422.34,684.59,0.0,0.0,1417.23,1
14596,14596,F,33,Autônomo,5483.0,682.71,16673.33,9634.62,0.0,0
30676,30676,M,32,Privada,5503.0,795.32,0.0,0.0,4056.69,0
13074,13074,F,30,Privada,5425.0,552.31,16766.21,8073.06,0.0,0
15094,15094,M,33,Pública,5619.0,646.64,0.0,0.0,3057.82,0
97648,97648,F,28,Autônomo,4920.0,700.06,0.0,0.0,2485.86,0
91541,91541,F,31,Privada,5100.0,823.03,0.0,0.0,2807.44,0
64058,64058,F,31,Privada,5769.0,640.18,0.0,0.0,2842.69,0
73805,73805,M,36,Privada,6106.0,1151.11,0.0,0.0,807.1,0
38708,38708,M,30,Autônomo,5152.84,721.13,0.0,0.0,4741.52,1
42793,42793,M,37,Privada,6308.0,763.33,0.0,0.0,2554.8,0
51044,51044,M,31,Autônomo,5242.0,780.59,15711.51,12112.0,0.0,0
9273,9273,F,30,Autônomo,4995.06,557.14,0.0,0.0,6068.26,1
95706,95706,M,34,Privada,5975.0,1056.22,0.0,0.0,4280.52,0
29461,29461,M,35,Privada,5952.0,1217.71,17716.09,14537.5,0.0,0
45987,45987,M,33,Pública,5598.0,687.65,0.0,0.0,2514.34,0
1195,1195,M,33,Pública,5383.0,741.94,0.0,0.0,1651.77,0
9105,9105,M,33,Pública,5414.0,606.66,16684.71,12422.62,0.0,0
80141,80141,M,31,Privada,5405.68,450.64,0.0,0.0,4441.08,1
874,874,M,33,Privada,5506.62,536.72,0.0,0.0,2070.79,1
36376,36376,M,32,Privada,5555.0,854.86,0.0,0.0,2726.97,0
5332,5332,M,33,Privada,5820.0,1054.19,0.0,0.0,3119.37,0
42930,42930,F,26,Autônomo,4742.0,251.45,0.0,0.0,1290.86,0
